transaction_id,user_id,merchant_id,amount,currency,transaction_date,transaction_time,payment_method,status
1001,1,1,15.50,USD,2023-04-01,09:30:00,credit_card,completed
1002,2,2,299.99,USD,2023-04-01,10:15:30,debit_card,completed
1003,3,3,89.99,USD,2023-04-01,11:45:15,credit_card,completed
1004,1,4,45.75,USD,2023-04-01,14:20:45,cash,completed
1005,4,5,29.99,USD,2023-04-01,16:30:00,credit_card,completed
1006,5,1,8.25,USD,2023-04-02,08:15:30,debit_card,completed
1007,2,6,120.00,USD,2023-04-02,09:45:00,credit_card,completed
1008,6,7,75.50,USD,2023-04-02,12:30:15,credit_card,failed
1009,3,8,199.99,USD,2023-04-02,15:45:30,debit_card,completed
1010,7,9,450.00,USD,2023-04-02,18:20:45,credit_card,completed
1011,1,10,32.50,USD,2023-04-03,07:30:00,cash,completed
1012,8,2,159.99,USD,2023-04-03,10:15:30,credit_card,completed
1013,4,11,85.00,USD,2023-04-03,13:45:15,debit_card,completed
1014,9,3,67.99,USD,2023-04-03,16:30:45,credit_card,completed
1015,5,12,95.50,USD,2023-04-03,19:15:00,credit_card,completed
1016,10,1,12.75,USD,2023-04-04,08:45:30,cash,completed
1017,2,13,220.00,USD,2023-04-04,11:30:15,credit_card,completed
1018,6,14,35.99,USD,2023-04-04,14:15:45,debit_card,completed
1019,11,15,180.00,USD,2023-04-04,17:45:30,credit_card,completed
1020,3,16,99.99,USD,2023-04-04,20:30:00,credit_card,completed
1021,12,17,55.00,USD,2023-04-05,09:15:30,cash,completed
1022,7,18,28.50,USD,2023-04-05,12:45:15,debit_card,completed
1023,13,19,200.00,USD,2023-04-05,15:30:45,credit_card,completed
1024,8,20,149.99,USD,2023-04-05,18:15:00,credit_card,completed
1025,14,1,6.99,USD,2023-04-05,21:30:30,cash,completed
1026,4,2,399.99,USD,2023-04-06,10:45:15,credit_card,completed
1027,15,3,125.50,USD,2023-04-06,13:30:45,debit_card,completed
1028,1,5,19.99,USD,2023-04-06,16:15:30,credit_card,completed
1029,9,6,75.00,USD,2023-04-06,19:45:00,credit_card,completed
1030,5,8,299.99,USD,2023-04-06,22:30:15,credit_card,completed
1031,11,4,38.75,USD,2023-04-07,08:30:00,cash,completed
1032,2,7,89.99,USD,2023-04-07,11:15:30,debit_card,completed
1033,12,9,520.00,USD,2023-04-07,14:45:15,credit_card,pending
1034,6,10,42.50,USD,2023-04-07,17:30:45,credit_card,completed
1035,13,11,110.00,USD,2023-04-07,20:15:00,debit_card,completed
1036,3,12,65.99,USD,2023-04-08,09:45:30,credit_card,completed
1037,14,13,175.00,USD,2023-04-08,12:30:15,credit_card,completed
1038,7,14,29.99,USD,2023-04-08,15:15:45,cash,completed
1039,15,15,240.00,USD,2023-04-08,18:45:30,credit_card,completed
1040,8,16,79.99,USD,2023-04-08,21:30:00,debit_card,completed